month,number_of_positions
2021-01,2
2021-07,2
2021-09,8
2021-10,2
2021-12,8
2022-01,4
2022-02,32
2022-03,21
2022-04,70
2022-05,21
2022-06,79
2022-07,150
2022-08,41
2022-09,130
2022-10,101
2022-11,110
2022-12,40
2023-01,89
2023-02,29
2023-03,62
2023-04,64
2023-05,63
2023-06,60
2023-07,66
2023-08,192
2023-09,47
2023-10,250
2023-11,157
2023-12,33
2024-01,116
2024-02,232
2024-03,134
2024-04,180
2024-05,146
2024-06,208
2024-07,256
2024-08,275
2024-09,308
2024-10,326
2024-11,254
2024-12,1389
2025-01,1343
2025-02,914
2025-03,1284
2025-04,1459
2025-05,2493
